 ,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
1,30.704,4.391,41.539,18.019,21.521,37.502,11.752,47.796,27.694,46.855
2,21.261,41.472,44.081,23.291,34.428,25.099,27.998,26.965,38.034,53.823
3,25.237,54.952,38.478,41.348,35.883,39.174,14.940,45.087,8.728,36.179
4,41.839,44.169,49.365,16.549,11.332,46.075,45.749,9.138,37.139,56.129
5,32.861,45.341,42.820,24.098,27.170,7.087,29.689,47.602,12.584,30.347
6,42.891,45.221,45.745,10.987,34.460,54.336,41.481,33.057,29.182,16.912
7,11.745,35.716,39.023,34.913,10.920,46.799,31.710,12.829,41.223,5.632
8,16.853,32.382,45.628,10.578,49.592,21.093,42.548,29.396,31.586,18.807
9,51.790,22.232,40.285,39.781,36.010,54.561,26.228,54.421,22.677,40.305
10,35.372,47.671,47.845,21.097,38.993,31.163,41.338,25.756,16.769,41.561
11,26.201,57.134,17.339,36.843,25.534,30.890,39.181,7.794,39.422,37.768
12,16.421,42.222,47.165,31.253,46.389,31.066,38.289,49.943,24.668,31.245
13,43.861,16.238,38.946,51.190,19.501,43.262,38.079,14.346,52.671,15.137
14,36.379,17.211,41.429,37.089,28.099,50.625,11.823,46.966,29.300,48.465
15,23.641,11.257,27.890,25.592,26.996,12.250,42.868,8.893,16.290,54.088
16,19.520,38.414,46.939,7.812,53.281,20.009,18.155,43.724,33.879,14.105
17,48.569,29.434,22.666,48.648,17.481,43.839,28.576,55.544,32.951,18.966
18,53.985,25.909,18.185,40.091,45.968,12.258,39.986,30.642,33.507,36.425
19,37.237,38.955,32.788,17.027,29.500,39.705,40.871,22.667,40.181,12.650
20,43.382,16.797,33.808,40.992,39.714,23.080,52.919,15.215,34.981,29.752
21,38.242,32.451,32.884,50.260,45.738,21.602,38.615,28.041,18.027,33.969
22,31.092,23.122,36.923,40.802,29.656,25.792,16.486,43.227,34.677,34.203
23,18.997,53.943,35.560,39.521,51.896,21.957,43.915,42.516,52.117,17.072
24,34.195,9.834,49.121,18.055,29.258,30.143,42.340,16.691,45.599,24.940
25,38.750,47.430,45.183,21.622,53.837,15.698,42.798,27.485,28.241,22.539
26,18.898,45.905,27.166,29.856,27.661,6.032,42.320,31.268,32.040,49.862
27,48.764,29.304,47.036,25.359,35.875,25.581,43.757,41.943,41.414,32.525
28,30.339,59.984,29.466,16.159,36.313,52.206,22.612,34.955,32.549,50.100
29,26.778,40.957,25.897,37.624,38.362,49.661,38.986,46.021,34.165,51.442
30,37.013,15.471,16.273,36.013,22.279,34.338,38.062,5.213,28.198,22.793
31,39.538,12.967,46.594,15.434,23.204,30.110,32.208,52.161,37.811,7.251
32,31.351,54.248,28.996,11.021,12.357,48.672,30.756,44.341,37.296,52.036
33,22.589,39.101,39.484,32.918,35.329,57.937,27.967,55.579,15.857,51.657
34,24.790,11.866,24.874,52.176,16.718,49.433,39.314,44.073,16.263,53.299
35,23.927,19.795,29.533,12.115,25.940,33.932,22.036,19.798,13.654,34.832
36,25.011,24.584,36.805,57.394,43.471,45.479,36.767,8.300,13.088,36.071
37,50.222,12.160,28.744,42.074,42.492,23.671,12.471,34.809,26.668,19.065
38,15.425,37.814,50.080,11.129,49.390,27.474,25.636,41.053,15.416,50.199
39,22.455,32.654,23.475,41.747,9.336,38.474,36.654,37.092,29.359,58.012
40,19.461,51.194,14.675,38.905,42.629,27.577,28.974,7.933,18.947,53.734
41,35.409,4.949,39.841,41.160,34.456,7.184,18.629,30.557,27.643,42.881
42,39.039,15.238,22.160,30.643,49.090,20.827,32.555,37.826,16.998,32.508
43,19.628,53.633,51.786,25.948,16.453,44.774,12.290,38.538,15.940,41.716
44,14.899,43.367,12.762,32.815,10.387,42.538,10.976,48.590,23.645,42.746
45,41.623,46.465,50.686,28.314,10.204,41.694,18.593,36.585,44.165,43.551
46,21.631,58.238,35.485,57.352,37.410,8.224,23.855,45.624,26.033,17.525
47,10.445,47.487,44.811,8.895,48.251,30.997,26.572,49.343,38.505,18.035
48,18.151,31.194,35.280,35.609,51.638,12.541,21.758,21.194,40.757,27.786
49,34.058,43.307,27.084,53.195,12.968,51.691,18.369,45.799,23.795,22.104
50,23.608,21.610,30.706,49.058,13.940,40.639,31.804,59.116,36.797,22.133
51,38.915,27.596,35.018,44.791,45.528,33.003,17.653,35.563,26.038,30.796
52,45.058,12.115,23.899,41.358,50.880,16.433,47.978,24.248,45.197,11.291
53,9.154,40.346,32.417,34.361,26.432,49.909,45.521,26.220,43.379,24.546
54,26.627,37.331,13.132,44.639,14.892,35.171,31.786,54.685,54.461,16.625
55,20.951,48.700,10.166,40.831,25.586,37.849,34.930,7.607,40.073,35.851
56,38.104,56.130,41.957,6.503,34.846,5.424,49.187,20.173,40.849,6.962
57,30.566,14.433,49.950,30.600,52.541,16.233,14.627,30.620,40.238,6.758
58,42.259,43.283,9.223,46.773,38.654,16.312,33.827,25.434,49.674,11.250
59,34.602,11.926,14.872,34.892,13.636,46.911,40.766,21.604,48.333,23.073
60,41.801,53.404,37.167,9.512,30.142,11.162,27.505,11.523,15.525,46.350
61,45.543,17.003,31.981,11.596,28.342,59.658,34.027,8.035,38.203,51.646
62,52.583,25.845,24.844,50.754,37.631,24.144,35.862,40.444,28.819,32.651
63,38.013,20.651,37.124,13.834,21.476,30.802,27.615,53.406,38.753,53.750
64,19.575,42.067,9.749,42.897,25.818,50.972,25.967,11.658,36.987,26.534
65,16.839,48.277,20.527,30.342,44.650,45.273,46.811,13.227,27.044,55.066
66,41.054,50.262,31.031,58.792,49.776,21.884,52.559,19.181,50.282,18.102
67,33.910,11.851,27.735,25.566,40.443,48.850,30.155,55.271,17.780,49.423
68,42.322,25.540,32.762,16.369,11.068,37.190,16.240,42.718,31.556,41.834
69,14.647,37.758,28.773,14.035,36.390,57.940,9.354,44.213,18.828,44.996
70,51.542,24.076,21.521,54.812,23.163,40.496,33.954,47.338,19.197,39.733
71,29.763,43.160,29.496,38.540,29.502,14.032,35.234,48.204,27.005,12.335
72,18.028,37.386,19.580,41.794,35.341,36.636,30.830,58.238,25.969,49.739
73,36.785,45.947,34.998,56.231,53.203,18.104,29.738,54.726,33.876,30.006
74,14.752,35.278,17.118,49.106,20.194,42.548,37.359,11.571,47.089,8.588
75,27.634,43.206,49.859,18.399,49.602,18.240,39.178,25.484,45.668,12.531
76,36.685,11.999,12.929,40.443,37.544,43.672,28.602,29.528,34.391,46.659
77,29.607,20.550,12.100,49.726,11.696,50.009,24.719,21.417,16.360,35.778
78,38.259,30.736,29.001,26.761,25.203,14.155,50.372,26.151,12.198,37.437
79,41.624,27.843,12.926,50.076,41.438,45.452,52.092,29.708,21.345,37.715
80,13.180,32.307,29.924,59.560,38.331,39.550,27.575,9.574,54.702,19.527
81,28.944,44.600,43.721,32.628,26.702,24.004,29.451,47.765,24.504,35.977
82,40.319,17.606,33.767,35.716,42.626,21.426,22.190,43.298,49.146,12.553
83,45.288,26.023,20.413,38.841,40.707,11.213,27.700,10.421,27.217,56.215
84,20.475,45.060,40.577,42.099,20.500,53.975,44.445,21.977,31.721,46.636
85,19.581,40.255,39.382,31.099,21.732,20.569,27.751,13.927,26.734,21.062
86,49.375,27.778,41.228,24.087,24.946,32.732,29.130,36.966,15.702,34.521
87,22.625,15.597,23.649,37.785,31.363,21.418,38.102,25.821,48.051,26.698
88,33.605,28.655,15.245,36.747,21.094,42.584,26.638,41.059,8.799,36.054
89,31.150,18.721,29.121,23.837,39.864,55.142,11.483,39.054,26.967,17.797
90,26.873,23.032,23.898,17.419,44.242,22.917,32.079,51.465,21.732,40.535
91,39.771,55.364,9.872,41.217,23.089,10.998,25.366,16.815,32.856,31.819
92,21.051,54.236,23.510,49.145,40.674,14.987,44.175,16.260,43.445,43.458
93,40.167,10.634,24.039,13.415,43.706,28.021,30.355,11.691,20.250,50.974
94,9.649,41.502,24.769,7.669,21.271,50.779,29.110,11.592,31.987,50.125
95,43.521,47.776,29.253,52.636,31.577,43.938,25.394,54.483,26.057,37.121
96,28.112,54.129,29.589,54.170,32.917,9.334,37.774,41.232,41.800,38.663
97,35.621,20.034,37.150,47.414,33.802,32.842,19.312,34.331,39.996,40.483
98,47.569,30.448,23.331,57.252,40.477,29.228,46.635,24.816,32.350,41.135
99,21.411,51.125,42.707,9.657,27.544,38.012,48.088,24.826,28.553,25.032
100,43.283,47.573,45.777,7.791,52.324,23.086,37.477,26.143,46.774,23.940
101,34.392,6.256,40.245,43.597,29.496,6.999,23.544,14.699,32.345,54.598
102,30.649,21.356,25.462,37.400,28.704,50.865,35.967,19.050,33.734,53.931
103,21.339,13.534,29.977,57.995,24.594,10.108,45.633,24.416,36.255,51.274
104,11.276,35.248,36.345,34.970,22.517,47.789,35.196,33.753,23.593,30.448
105,25.357,58.601,23.895,39.207,35.538,13.210,19.219,40.294,25.495,23.606
106,22.911,47.370,26.432,31.036,12.308,51.420,43.713,6.987,32.141,31.381
107,24.488,29.722,32.290,31.196,26.916,22.985,28.294,18.839,27.748,31.299
108,50.546,11.665,29.198,27.837,42.614,16.112,28.328,15.310,43.046,9.843
109,17.003,45.976,43.528,51.691,34.890,7.664,29.942,16.415,32.368,49.034
110,37.412,7.952,51.067,19.499,25.939,30.582,38.640,50.735,28.081,46.824
111,24.664,9.629,12.732,37.717,38.610,50.809,41.446,38.082,33.724,28.393
112,18.548,40.070,9.719,43.574,33.395,52.771,27.569,33.843,14.875,53.728
113,13.578,45.928,19.558,51.064,42.243,41.939,38.532,12.083,41.015,28.620
114,35.617,47.317,20.978,52.634,28.820,44.775,26.673,46.434,20.839,14.811
115,35.786,54.100,34.269,50.496,12.954,51.562,33.308,12.225,14.835,53.537
116,17.322,49.309,34.154,43.701,29.859,33.459,49.186,25.729,13.467,42.328
117,19.199,41.727,33.893,25.906,32.818,52.984,33.488,57.659,21.903,12.186
118,33.101,33.194,47.337,28.892,43.248,19.242,31.011,46.571,28.760,52.056
119,47.587,24.849,30.406,25.737,33.368,28.737,34.911,8.867,42.553,47.655
120,46.827,19.402,48.963,22.062,33.769,7.964,28.010,36.922,20.829,14.904
121,50.076,24.017,30.365,45.045,47.629,16.736,35.006,31.371,10.853,34.794
122,31.929,16.367,16.665,29.396,34.825,32.631,26.017,51.407,17.980,28.614
123,43.798,31.051,51.160,24.062,19.651,35.580,54.963,17.963,43.657,26.792
124,13.718,34.363,25.761,50.486,47.159,18.174,28.446,27.707,44.486,46.386
