Label,Mean,NormIntensity,Area,X,Y,Experiment
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807754,293.6,0.30220338655234286,0.084,20.837,21.259,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807755,155.212,0.1597601908500076,0.055,24.01,21.318,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807752,141.667,0.14581828052694396,0.016,29.824,20.898,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807753,281.137,0.28937518217018393,0.084,24.569,21.161,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807758,163.214,0.16799667415788175,0.059,18.014,21.42,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807759,309.15,0.31820904956626966,0.084,24.537,21.648,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807756,560.175,0.5765898571592596,0.084,27.036,21.323,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807757,187.508,0.19300256337076532,0.068,17.544,21.359,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807746,419.337,0.4316248688920292,0.084,25.867,20.025,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807747,182.91,0.18826982777346396,0.082,28.403,20.187,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807744,399.3,0.41100072292353707,0.084,19.766,18.824,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807745,223.949,0.23051139719009067,0.082,16.68,18.918,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807750,148.263,0.15260756369349457,0.04,26.392,20.749,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807751,255.973,0.2634737992709906,0.079,21.006,20.876,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807748,151.826,0.1562749705950136,0.024,30.365,20.651,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807749,302.15,0.31100392795228327,0.084,23.498,20.739,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807770,235.266,0.2421600202337312,0.083,28.17,22.977,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807771,149.059,0.15342688895131357,0.036,24.935,23.391,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807768,132.5,0.13638265912188496,0.002,19.684,22.752,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807769,208.562,0.2146735105794609,0.077,29.772,22.922,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807774,197.764,0.20355909583834308,0.076,19.417,23.599,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807775,146.651,0.1509483271161023,0.045,30.356,23.698,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807772,139.208,0.14328722423425932,0.025,26.258,23.406,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807773,178.492,0.18372236673195086,0.068,19.855,23.504,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807762,249.725,0.2570427135789639,0.084,26.744,21.843,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807763,222.425,0.22894273928441708,0.084,17.688,21.908,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807760,424.512,0.43695151237094054,0.084,18.922,21.713,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807761,218.7,0.2251085852826886,0.084,23.985,21.778,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807766,149.571,0.1539538921322223,0.029,23.81,22.206,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807767,184.236,0.18963468366777053,0.076,27.925,22.727,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807764,217.487,0.22386004063729353,0.08,16.426,22.044,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807765,169.167,0.1741241154390333,0.063,16.932,22.098,Exp97_C5
