 ,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
1,24.451,5.801,39.710,14.827,35.562,43.801,5.338,19.859,7.108,24.227
2,13.638,16.199,25.624,15.386,7.656,32.625,24.330,11.858,27.089,40.246
3,36.881,32.676,35.460,26.303,16.910,10.673,19.334,47.817,31.851,13.168
4,28.267,20.924,27.077,37.629,23.320,32.442,39.464,9.588,8.774,19.231
5,30.725,7.809,10.358,18.873,19.385,43.132,8.659,23.839,5.981,23.586
6,16.216,45.254,35.102,37.762,43.897,37.641,32.793,47.745,24.417,43.691
7,12.861,36.746,21.955,32.878,7.774,19.677,3.425,25.221,47.156,24.162
8,22.967,44.956,34.049,12.150,31.463,19.355,10.010,20.371,10.871,23.261
9,33.819,18.692,45.036,21.861,28.741,24.295,19.592,15.240,31.601,31.138
10,23.314,37.231,42.317,11.861,37.179,44.850,10.638,26.887,27.944,13.975
11,29.412,20.867,26.742,42.629,39.371,27.089,30.617,13.933,35.953,35.819
12,16.878,14.937,27.446,41.005,9.567,23.459,23.264,33.274,12.427,42.650
13,26.002,4.874,41.143,41.364,24.029,31.522,38.295,18.650,37.668,9.539
14,14.455,16.903,44.241,24.532,37.056,22.373,38.560,19.835,33.404,28.260
15,9.170,15.247,7.645,33.006,36.027,39.431,17.891,35.962,9.062,16.704
16,25.896,46.169,27.233,44.507,6.782,17.311,15.811,15.553,17.599,44.331
17,34.166,47.275,45.395,16.346,25.381,31.794,42.167,37.877,45.860,22.717
18,14.515,39.302,8.085,22.089,29.747,38.713,41.832,21.387,8.970,36.069
19,9.132,23.787,45.105,39.422,10.131,39.251,30.712,24.911,12.797,12.455
20,35.095,36.447,28.593,27.126,15.406,11.848,26.428,43.340,20.403,40.874
21,34.419,46.285,36.740,27.223,18.745,43.319,33.488,25.979,27.713,36.250
22,4.322,22.441,44.540,32.365,15.081,16.317,26.188,30.605,13.519,44.210
23,36.922,9.171,33.491,18.763,41.354,20.717,12.261,18.520,12.302,26.258
24,15.570,46.811,34.758,40.268,29.987,7.608,25.368,47.823,18.281,15.648
25,37.579,22.918,46.270,21.504,34.566,45.947,31.042,12.807,34.850,39.226
26,6.175,35.135,28.999,28.897,42.466,37.103,37.887,11.564,31.801,38.570
27,33.863,42.345,24.403,13.821,40.605,34.013,39.143,42.138,31.049,24.541
28,40.296,17.275,5.046,30.444,43.310,34.855,17.631,42.291,36.140,10.665
29,6.797,31.371,37.769,11.357,41.425,29.806,9.440,24.291,38.814,28.122
30,8.318,36.819,12.029,21.258,46.078,30.946,12.347,29.458,30.115,37.139
31,45.583,38.761,18.522,7.210,7.026,16.991,32.933,45.511,41.760,37.790
32,8.519,13.841,29.500,37.724,5.750,20.071,11.827,22.987,29.540,45.203
33,28.881,4.129,18.920,44.939,23.051,38.510,42.642,14.553,43.505,22.792
34,33.830,14.433,39.950,19.056,5.360,28.484,36.213,21.579,44.647,33.107
35,41.416,22.324,35.082,8.120,21.175,7.732,16.925,45.093,44.321,27.695
36,43.699,29.199,27.076,14.019,24.142,14.913,30.057,31.840,18.421,34.556
37,27.634,33.122,27.972,43.940,14.104,30.089,38.626,12.015,31.327,6.366
38,39.124,16.494,19.550,48.624,37.691,11.319,31.147,4.267,33.120,47.300
39,29.348,48.275,11.531,30.159,25.723,15.713,21.723,9.997,9.689,19.209
40,45.108,23.493,33.496,24.810,13.006,36.704,6.185,33.962,43.301,20.964
41,34.326,47.295,43.301,39.312,46.538,21.624,13.446,12.387,45.308,21.902
42,6.990,30.416,16.103,11.552,30.561,20.707,35.434,43.341,20.117,9.036
43,38.527,38.038,16.686,34.629,41.395,25.361,30.243,32.731,37.542,29.589
44,23.560,44.885,36.175,9.611,36.316,8.455,44.256,15.786,30.640,41.576
45,31.058,20.630,17.184,46.795,21.754,45.781,31.608,21.548,33.200,11.026
46,35.660,39.181,32.417,6.512,17.924,37.340,24.599,30.777,32.691,30.518
47,40.014,22.931,23.601,41.859,32.771,7.628,21.259,12.388,15.388,44.748
48,36.482,9.221,21.465,7.758,32.852,23.135,30.375,23.987,21.299,38.945
49,40.305,13.041,38.887,17.432,28.841,26.247,20.521,39.542,38.492,36.262
50,48.769,24.418,31.925,36.699,35.848,18.372,42.935,23.709,3.719,26.908
51,39.380,13.375,11.967,43.820,40.536,31.899,8.270,34.223,34.428,40.987
52,33.894,42.874,23.129,42.848,39.992,40.118,16.018,11.849,16.549,8.025
53,27.604,35.486,17.560,39.029,11.056,13.278,31.632,23.065,35.602,45.773
54,47.608,23.771,21.345,42.680,26.539,18.502,39.612,12.178,6.044,26.305
55,7.126,24.988,8.341,14.944,38.071,38.183,6.677,18.070,31.269,4.897
56,28.370,3.142,30.688,16.156,34.974,10.491,39.470,39.488,9.769,35.600
57,19.570,38.721,15.659,35.433,21.729,4.460,28.365,30.854,30.539,38.718
58,34.651,42.287,31.983,28.283,42.258,40.992,24.120,31.100,29.682,47.243
59,30.730,16.108,15.571,39.835,12.355,44.549,24.428,5.835,31.152,33.145
60,36.420,45.869,34.884,21.442,41.937,19.212,17.522,46.144,21.928,41.071
61,13.676,12.746,44.191,27.408,4.518,21.849,41.487,24.934,36.139,19.357
62,12.864,18.259,4.117,27.745,35.965,10.166,19.481,8.728,42.558,13.155
63,32.004,5.499,22.341,32.038,30.383,45.656,8.519,13.660,41.954,24.269
64,4.774,31.147,22.517,32.871,30.820,28.976,4.194,28.069,42.942,21.075
65,31.055,44.035,24.285,9.232,7.033,34.500,39.354,13.030,29.028,31.432
66,12.862,12.068,29.973,29.787,41.982,26.592,35.251,33.931,37.719,22.036
67,19.001,40.249,7.675,22.667,11.990,44.562,24.553,40.661,27.447,40.475
68,16.942,43.003,47.652,23.353,42.751,32.911,19.407,41.512,21.778,10.846
69,38.422,38.347,7.086,23.589,32.888,17.687,29.441,35.111,37.559,8.861
70,31.928,25.148,18.939,36.433,39.230,44.199,28.074,41.357,9.800,29.694
