 ,Label,Area,Mean,Min,Max,X,Y,%Area,MinThr,MaxThr,Ribo_NN_Dist,Ribo_EmpP,Ribo_CloserThanRand,Experiment
1,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5376466,0.015,339.062,310,366,11.679,21.831,16.495,310,65535,0.5109559667916597,0.5278921752152752,False,Exp84_C2
2,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5376467,0.085,589.775,317,892,9.403,21.984,91.753,310,65535,0.1367406303919929,0.06551853238487458,True,Exp84_C2
3,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5376464,0.092,502.219,310,729,12.188,21.538,98.969,310,65535,0.08080841540334818,0.02358667165855485,True,Exp84_C2
4,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5376465,0.087,525.407,319,705,12.523,21.53,93.814,310,65535,0.414754144041985,0.4092100336952452,False,Exp84_C2
5,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5376470,0.029,353.2,312,403,4.344,23.016,30.928,310,65535,3.0383069298541923,0.9996256083863722,False,Exp84_C2
6,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5376471,0.035,363.514,316,435,6.269,23.152,38.144,310,65535,2.850645540925773,0.9996256083863722,False,Exp84_C2
7,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5376468,0.071,399.392,312,496,4.799,22.141,76.289,310,65535,3.7726951904440957,0.9996256083863722,False,Exp84_C2
8,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5376469,0.028,344.897,310,386,6.442,22.672,29.897,310,65535,3.134134170708076,0.9996256083863722,False,Exp84_C2
9,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5376474,0.082,461.384,313,587,10.121,23.255,88.66,310,65535,0.19405411616350712,0.12055409958816922,True,Exp84_C2
10,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5376475,0.068,408.014,315,531,12.34,23.354,73.196,310,65535,0.1135077089893017,0.04754773493073755,True,Exp84_C2
11,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5376472,0.059,392.129,313,513,10.922,23.163,63.918,310,65535,0.2820868660537035,0.23848745788094347,False,Exp84_C2
12,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C2_Airyscan Processing-1-1.tif:ID5376473,0.074,431.961,314,583,12.716,23.173,79.381,310,65535,0.33828538248053425,0.31561213028828156,False,Exp84_C2
